OBJECTID;SOURCE;X_Este;Y_Norte;MINERAL_PPAL;FORMA_OCURRENCIA;ID_NOM_DEP;IG_MUN;IG_DEP
56;SGC;901549.068;1274524.154;Oro-Au;Veta;La Sardina;Amalfi;Antioquia
57;SGC;905402.522;1285057.477;Oro-Au;Veta;La Vetilla;Amalfi;Antioquia
58;SGC;897928.514;1265096.558;Oro-Au;Veta;Los Ratones;Amalfi;Antioquia
59;SGC;892223.688;1258560.116;Oro-Au;Veta;Mina Yolombito;Amalfi;Antioquia
60;SGC;891547.409;1262908.355;Oro-Au;Veta;Miniatura;Amalfi;Antioquia
61;SGC;893696.684;1260039.242;Oro-Au;Veta;Montecito;Amalfi;Antioquia
62;SGC;879716.545;1250921.932;Oro-Au;Veta;Quebrada Coloradas;Amalfi;Antioquia
63;SGC;893702.089;1262704.841;Oro-Au;Veta;Salazar;Amalfi;Antioquia
64;SGC;891577.584;1245266.546;Oro-Au;Veta;San Cristóbal II;Amalfi;Antioquia
65;SGC;908014.85;1281889.433;Oro-Au;Veta;Santa Isabel;Amalfi;Antioquia
66;SGC;888735.51;1260679.984;Oro-Au;Veta;Santa Lucía II;Amalfi;Antioquia
67;SGC;884835.155;1245955.334;Oro-Au;Veta;Santa Mónica;Amalfi;Antioquia
68;SGC;789355.378;1110668.624;Oro-Au;Veta;Alejandría;Andes;Antioquia
69;SGC;798048.355;1118485.586;Oro-Au;Aluvial;Cantera Rual;Andes;Antioquia
70;SGC;800892.459;1120656.333;Oro-Au;Aluvial;Draga Campamento;Andes;Antioquia
71;SGC;792826.175;1111011.563;Oro-Au;Veta;El Cóndor;Andes;Antioquia
72;SGC;797486.389;1112457.381;Oro-Au;Veta;La Clara_1;Andes;Antioquia
73;SGC;799499.372;1103776.945;Oro-Au;Veta;La Cristalina;Andes;Antioquia
74;SGC;797056.749;1102578.426;Oro-Au;Veta;La Mesenia;Andes;Antioquia
75;SGC;792604.939;1114630.336;Oro-Au;Veta;Mina La Manteada 1;Andes;Antioquia
76;SGC;788310.618;1119999.54;Oro-Au;Sin información;Mina Los Topitos de la Rochela;Andes;Antioquia
77;SGC;788043.174;1109400.438;Oro-Au;Veta;Mina San Esteban;Andes;Antioquia
78;SGC;799743.479;1125362.137;Arcilla_Caolinita;Estratiforme;Mina Vieja N 1;Andes;Antioquia
79;SGC;798230.661;1105794.478;Oro-Au;Veta;Mina Virgen del Carmen;Andes;Antioquia
80;SGC;793920.558;1106527.035;Oro-Au;Veta;Reserva Forestal;Andes;Antioquia
81;SGC;800549.885;1117404.579;Oro-Au;Veta;San Agustín_1;Andes;Antioquia
82;SGC;798418.377;1109157.384;Oro-Au;Veta;San Antonio_3;Andes;Antioquia
83;SGC;789001.343;1103997.803;Oro-Au;Veta;San Pablo;Andes;Antioquia
84;SGC;786638.355;1113720.272;Oro-Au;Veta;San Rafael I;Andes;Antioquia
85;SGC;795148.931;1112907.277;Oro-Au;Veta;Santa Cruz;Andes;Antioquia
86;SGC;795386.278;1114355.949;Oro-Au;Veta;Santa Elena;Andes;Antioquia
87;SGC;794985.558;1110307.683;Oro-Au;Veta;Santa Elena;Andes;Antioquia
88;SGC;790747.759;1109303.203;Oro-Au;Veta;Santa Teresa;Andes;Antioquia
89;SGC;798230.661;1105794.478;Oro-Au;Veta;Santana;Andes;Antioquia
90;SGC;799389.886;1111466.779;Oro-Au;Veta;Tierra Adentro;Andes;Antioquia
91;SGC;862682.878;1255985.217;Oro-Au;Veta;Batea Seca_3;Angostura;Antioquia
92;SGC;864285.461;1260162.353;Oro-Au;Veta;Cañaveral Abajo;Angostura;Antioquia
93;SGC;860867.676;1259297.428;Oro-Au;Veta;Cañaveral_1;Angostura;Antioquia
94;SGC;856175.896;1245228.288;Oro-Au;Veta;Concepción;Angostura;Antioquia
95;SGC;852863.892;1255038.232;Oro-Au;Veta;El Pino;Angostura;Antioquia
96;SGC;852543.178;1251023.609;Oro-Au;Veta;El Remenso;Angostura;Antioquia
97;SGC;857407.181;1254959.4;Oro-Au;Veta;La Blanquita;Angostura;Antioquia
98;SGC;867755.538;1255507.677;Oro-Au;Veta;La Bramadora;Angostura;Antioquia
99;SGC;852479.257;1243899.85;Oro-Au;Veta;La Esperanza;Angostura;Antioquia
100;SGC;870513.264;1257646.745;Oro-Au;Veta;Margarita V;Angostura;Antioquia
101;SGC;867116.814;1260840.919;Oro-Au;Veta;San Alejandro 1;Angostura;Antioquia
102;SGC;870034.816;1260844.665;Oro-Au;Veta;San Alejandro II;Angostura;Antioquia
103;SGC;865419.408;1258389.583;Oro-Au;Veta;San Alejandro_1;Angostura;Antioquia
104;SGC;852474.604;1246222.884;Oro-Au;Veta;San Antonio;Angostura;Antioquia
105;SGC;865431.571;1250137.646;Oro-Au;Veta;San Antonio_6;Angostura;Antioquia
106;SGC;858595.116;1248573.556;Oro-Au;Veta;Santa Ana_1;Angostura;Antioquia
107;SGC;862864.792;1249392.015;Oro-Au;Diseminado;Santa Ana_3;Angostura;Antioquia
108;SGC;865039.429;1252439.44;Oro-Au;Veta;Santa Ana_4;Angostura;Antioquia
109;SGC;857595.089;1259040.715;Oro-Au;Veta;Santa Rita_1;Angostura;Antioquia
110;SGC;862624.078;1246074.152;Oro-Au;Veta;Santa Rita_3;Angostura;Antioquia
111;SGC;868007.472;1250142.251;Oro-Au;Veta;Santa Teresa;Angostura;Antioquia
112;SGC;878796.653;1264307.925;Oro-Au;Veta;El Olivo;Anorí;Antioquia
113;SGC;876378.43;1260541.734;Oro-Au;Veta;Guateros II;Anorí;Antioquia
114;SGC;884748.461;1276903.913;Oro-Au;Veta;La Arroyave;Anorí;Antioquia
115;SGC;876628.393;1263428.11;Oro-Au;Veta;Medias Faldas;Anorí;Antioquia
116;SGC;891635.011;1273117.211;Oro-Au;Aluvial;Quebrada El Pescado;Anorí;Antioquia
117;SGC;887444.29;1281875.335;Oro-Au;Aluvial;Quebrada El Valle;Anorí;Antioquia
118;SGC;873463.697;1266433.288;Oro-Au;Veta;San Pablo I;Anorí;Antioquia
119;SGC;881749.074;1284255.286;Oro-Au;Veta;Santa Gertudis;Anorí;Antioquia
120;SGC;873467.556;1263468.853;Oro-Au;Veta;Santa María III;Anorí;Antioquia
121;SGC;873126.594;1273192.576;Oro-Au;Veta;Sociedad  Grupo de Bullet S.A.;Anorí;Antioquia
122;SGC;871165.62;1279978.087;Oro-Au;Aluvial;Sociedad Minerales de Ensenada S.A.;Anorí;Antioquia
123;SGC;789223.94;1191508.23;Oro-Au;Veta;Mina Aleman;Anzá;Antioquia
124;SGC;791821.411;1187283.112;Oro-Au;Veta;Mina La Margarita;Anzá;Antioquia
125;SGC;799457.889;1192887.937;Oro-Au;Veta;Mina Pitanja;Anzá;Antioquia
126;SGC;795062.094;1195713.843;Oro-Au;Diseminado;No Indicado_05_0070;Anzá;Antioquia
127;SGC;798141.142;1186718.607;Oro-Au;Estratiforme;Proyecto Anzá;Anzá;Antioquia
128;SGC;885787.043;1128401.541;Oro-Au;Veta;El Tesoro;Argelia;Antioquia
129;SGC;884860.826;1124675.868;Oro-Au;Veta;No Indicado_05_0009;Argelia;Antioquia
130;SGC;859787.148;1200009.861;Oro-Au;Veta;Mina El Guamal;Barbosa;Antioquia
131;SGC;835749.507;1199355.054;Cromo-Cr;Podiforme;Sector Norte- Loma Menezes-AC-78-B-frente Aníbal;Bello;Antioquia
132;SGC;824045.666;1225620.699;Oro-Au;Veta;Mina Filandia;Belmira;Antioquia
133;SGC;820648.112;1228563.48;Oro-Au;Veta;Mina San Joaquin;Belmira;Antioquia
134;SGC;825937.599;1222218.301;Oro-Au;Veta;Mina Yerbalito;Belmira;Antioquia
135;SGC;820618.749;1233088.501;Oro-Au;Veta;San Joaquín1;Belmira;Antioquia
136;SGC;782042.403;1121580.684;Oro-Au;Veta;Mina El Silencio;Betania;Antioquia
137;SGC;829311.35;1273883.205;Oro-Au;Veta;Mina Berlín;Briceño;Antioquia
138;SGC;793671.333;1235618.365;Oro-Au;Veta;Guarco;Buriticá;Antioquia
139;SGC;792364.064;1240857.071;Oro-Au;Veta;La Antigua;Buriticá;Antioquia
140;SGC;797878.063;1233533.426;Oro-Au;Veta;Mina Yaraguá;Buriticá;Antioquia
141;SGC;804724.186;1233220.719;Oro-Au;Veta;No Indicado_05_0123;Buriticá;Antioquia
142;SGC;795393.766;1234770.912;Oro-Au;Veta;Pajarito;Buriticá;Antioquia
143;SGC;785005.341;1200198.923;Oro-Au;Sin información;No Indicado_05_0011;Caicedo;Antioquia
144;SGC;783257.372;1206247.218;Oro-Au;Veta;No Indicado_05_0012;Caicedo;Antioquia
145;SGC;791086.488;1195285.614;Oro-Au;Veta;No Indicado_05_0064;Caicedo;Antioquia
146;SGC;867214.03;1272941.978;Asbestos;Masivo;Mina Las Brisas;Campamento;Antioquia
147;SGC;869967.916;1269472.735;Níquel-Ni;No consolidado;Morro Pelón;Campamento;Antioquia
148;SGC;921782.928;1200410.887;Oro-Au;Zona de Cizalla;El Aguacate;Caracolí;Antioquia
149;SGC;926445.592;1195582.719;Oro-Au;Veta;El Purgatorio;Caracolí;Antioquia
150;SGC;821422.316;1106380.086;Oro-Au;Diseminado;El Retén;Caramanta;Antioquia
151;SGC;821594.693;1108625.38;Oro-Au;Diseminado;Malabrigo;Caramanta;Antioquia
